,breakpoint,slope_low,p_low,slope_high,p_high,inverted_U_supported
low_precarity,0.47040496465020043,0.8252526818750376,0.0005245470857864179,-0.8396282741853405,0.0005377061744663445,True
high_precarity,0.37431959812230664,1.5521527800049744,3.575703793779946e-07,-1.841155919271586,3.3520875222106263e-21,True
