path,hypothesis,dv,term,b,se,t,p,ci_lo,ci_hi,r2,n,predicted_sign,sign_ok,supported,test_type
PA<-agency,H1,PA_c,agency,0.7087927149660509,0.04402136304580467,16.101107869571074,3.7071424875991227e-54,0.6224468239149233,0.7951386060171785,0.23187144690510542,1600,1,True,True,directional
PA<-locus:collectivism,H2,PA_c,locus:collectivism,0.09755612998610995,0.029291343048724803,3.3305447901050425,0.0008865756228325337,0.04010249973402643,0.15500976023819346,0.23187144690510542,1600,1,True,True,directional
CE<-locus,H2,CE_c,locus,0.5984881896678009,0.04635538489693894,12.910866579975735,2.4139251847998754e-36,0.5075643081516882,0.6894120711839137,0.14369697538408133,1600,1,True,True,directional
CE<-locus:collectivism,H2,CE_c,locus:collectivism,0.1886234511660633,0.03076865954920294,6.130375971186876,1.1028537727777978e-09,0.12827218967872578,0.24897471265340082,0.14369697538408133,1600,1,True,True,directional
RIA<-PA,H4,RIA_c,PA_c,0.3811020160419354,0.021426983521256358,17.78607873870198,1.0638864480927776e-64,0.3390739875091134,0.4231300445747574,0.290964361888181,1600,1,True,True,directional
RIA<-frame,H3,RIA_c,frame,0.3094368082686458,0.04258984200511609,7.2655073064482085,5.792306468849608e-13,0.22589882014149357,0.392974796395798,0.290964361888181,1600,1,True,True,directional
RSV<-RIA:symbolic,H5,RSV_c,RIA_c:symbolic,0.09671421333664947,0.020442343397311397,4.731072727668269,2.430530440703648e-06,0.05661754865141764,0.1368108780218813,0.33532181495418145,1600,1,True,True,directional
AD<-agency,H1/H9,AD_c,agency,-0.33616783214903123,0.03482349999744143,-9.653476306911434,1.8166081999432294e-21,-0.40447256796078473,-0.26786309633727773,0.5183204431941636,1600,-1,True,True,directional
AD<-frame,H3,AD_c,frame,-0.2392703443442388,0.034832764080264415,-6.869117357235651,9.234715317180273e-12,-0.30759325123959413,-0.17094743744888347,0.5183204431941636,1600,-1,True,True,directional
AD<-stringency2,H7,AD_c,I(stringency ** 2),1.370007632682304,0.283646546812083,4.8299817081501075,1.4967304083531337e-06,0.8136476331033132,1.9263676322612948,0.5183204431941636,1600,1,True,True,directional
AD<-stringency:precarity,H8/H9,AD_c,stringency:precarity,0.7276573336834844,0.062152304142056976,11.707648553468449,1.9782864531737884e-30,0.6057483723548739,0.8495662950120949,0.5183204431941636,1600,1,True,True,directional
PR<-AD,H10,PR_c,AD_c,0.5532508369999317,0.020803535723481228,26.59407729309543,2.7667860913242004e-129,0.5124456916766118,0.5940559823232516,0.34356784665017415,1600,1,True,True,directional
PR<-AD:symbolic,H10,PR_c,AD_c:symbolic,0.12511217609078792,0.020497158137650368,6.103879145127666,1.2973156089552656e-09,0.08490797582218407,0.16531637635939178,0.34356784665017415,1600,1,True,True,directional
CS<-RIA,H4,CS_c,RIA_c,0.3303755551290444,0.020315221402747965,16.262463921971122,3.925877392203212e-55,0.29052815808469407,0.3702229521733947,0.45927896922784506,1600,1,True,True,directional
CS<-RSV,H5,CS_c,RSV_c,0.13766791416750346,0.022605590270114016,6.089994223663734,1.4127762720857685e-09,0.09332806115495934,0.18200776718004757,0.45927896922784506,1600,1,True,True,directional
CS<-PR,H6,CS_c,PR_c,-0.26065893036421917,0.022434502583825042,-11.618663234911683,5.182573995401702e-30,-0.30466320254159535,-0.21665465818684299,0.45927896922784506,1600,-1,True,True,directional
CS<-AD,H6,CS_c,AD_c,-0.19851208660074293,0.022525861566572252,-8.812630141318515,3.1328672245430244e-18,-0.2426955553316257,-0.15432861786986016,0.45927896922784506,1600,-1,True,True,directional
CS<-RIA:symbolic,H10,CS_c,RIA_c:symbolic,0.12193996298776372,0.01860582221126276,6.553860485345774,7.551773534287084e-11,0.08544547590880464,0.1584344500667228,0.45927896922784506,1600,1,True,True,directional
SCB<-CS,H11,SCB_c,CS_c,0.3684088543636496,0.02391021327114864,15.408012056847344,4.8320137534228135e-50,0.321510108871096,0.41530759985620325,0.22628757656577814,1600,1,True,True,directional
SCB<-CS:community,H11,SCB_c,CS_c:community,0.13486943447505664,0.02196012838270123,6.141559471997352,1.0295968835384204e-09,0.09179568769058756,0.17794318125952574,0.22628757656577814,1600,1,True,True,directional
CDC<-CS,H12,CDC_c,CS_c,-0.1845620515816289,0.02569459911597955,-7.182912282404483,1.043292850088192e-12,-0.23496080900422722,-0.13416329415903055,0.18092472437508333,1600,-1,True,True,directional
CDC<-CS:community,H12,CDC_c,CS_c:community,-0.09349967505391957,0.022602021246862846,-4.136783787286161,3.705762075355563e-05,-0.13783248526587716,-0.04916686484196199,0.18092472437508333,1600,-1,True,True,directional
BSE<-int:sac,H13,BSE_c,demkt_intensity:demkt_sacrifice,0.6030536978141157,0.2872464281653004,2.0994297532816635,0.03593592571864716,0.0396332300237624,1.1664741656044688,0.16159836284424078,1600,1,True,True,directional
BSE<-intensity|no_sacrifice,H13,BSE_c,demkt_intensity,-0.05735793576955052,0.1656833996029688,-0.34618999795392147,0.729245619114822,-0.38233819437760996,0.26762232283850895,0.16159836284424078,1600,0,True,True,predicted null
SPS<-CS,H14,SPS_c,CS_c,0.287411450616742,0.02374314788502711,12.105027185463864,2.4771537738488827e-32,0.2408403959287611,0.3339825053047229,0.17293454907641104,1600,1,True,True,directional
SPS<-CS:growth_endorse,H14,SPS_c,CS_c:growth_endorse,-0.10419137826948384,0.022516726415657363,-4.627288014523848,4.004505766626992e-06,-0.1483568656082191,-0.0600258909307486,0.17293454907641104,1600,-1,True,True,directional
CS<-stringency,H7,CS_c,stringency,1.1873154009314337,0.3753648821231703,3.1630966493605923,0.0015904928279001412,0.45105364179360674,1.9235771600692608,0.1763386545101735,1600,1,True,True,directional
CS<-stringency2,H7,CS_c,I(stringency ** 2),-1.4855611430144102,0.3712715632222999,-4.001279091027303,6.589502074747872e-05,-2.2137940365918247,-0.7573282494369955,0.1763386545101735,1600,-1,True,True,directional
