stringency,precarity_-1SD,precarity_mean,precarity_+1SD
0.0,0.0,0.0,0.0
0.005,0.01811512928007213,0.01810569128007213,0.018096253280072132
0.01,0.03570808050066132,0.035670328500661326,0.035632576500661324
0.015,0.052792781591628965,0.05270783959162897,0.05262289759162897
0.02,0.06938278268331778,0.06923177468331777,0.06908076668331778
0.025,0.0854912663544834,0.0852553163544834,0.0850193663544834
0.03,0.10113105760224791,0.10079128960224792,0.10045152160224792
0.035,0.1163146335416154,0.1158521715416154,0.1153897095416154
0.04,0.13105413284188439,0.13045010084188438,0.1298460688418844
0.045,0.1453613649070955,0.14459688690709552,0.1438324089070955
0.05,0.15924781880745573,0.15830401880745573,0.15736021880745574
0.055,0.17272467196849578,0.17158267396849577,0.1704406759684958
0.06,0.18580279862453034,0.18444372662453032,0.18308465462453033
0.065,0.19849277804281648,0.19689775604281648,0.19530273404281648
0.07,0.2108049025246285,0.2089550545246285,0.2071052065246285
0.075,0.22274918518930148,0.22062563518930148,0.21850208518930148
0.08,0.23433536754712986,0.23191923954712984,0.22950311154712985
0.085,0.2455729268668487,0.24284534486684872,0.24011776286684872
0.09,0.25647108334327057,0.25341317134327057,0.2503552593432706
0.095,0.2670388070704964,0.2636316890704964,0.2602245710704964
0.1,0.2772848248259774,0.27350962482597735,0.26973442482597737
0.105,0.2872176266705559,0.28305546867055587,0.2788933106705559
0.11,0.29684547236947884,0.2922774803694788,0.2877094883694788
0.115,0.30617639763923876,0.3011836956392388,0.2961909936392388
0.12,0.3152182202249677,0.30978193222496775,0.30434564422496774
0.125,0.3239785458129789,0.3180797958129789,0.3121810458129789
0.13,0.33246477378293016,0.32608468578293015,0.31970459778293014
0.135,0.34068410280395695,0.33380380080395694,0.32692349880395694
0.14,0.3486435362790094,0.3412441442790094,0.3338447522790094
0.145,0.3563498876415098,0.3484125296415098,0.3404751716415098
0.15,0.36380978550833526,0.35531558550833525,0.34682138550833524
0.155,0.37102967869302605,0.36195976069302604,0.3528898426930261
0.16,0.3780158410830085,0.36835132908300855,0.35868681708300854
0.165,0.3847743763845202,0.3744963943845202,0.36421841238452024
0.17,0.3913112227388299,0.3804008947388299,0.3694905667388299
0.17500000000000002,0.3976321572132394,0.38607060721323944,0.3745090572132394
0.18,0.40374280017026537,0.39151115217026533,0.37927950417026535
0.185,0.4096486195183082,0.39672799751830823,0.38380737551830824
0.19,0.415354934847016,0.40172646284701596,0.388097990847016
0.195,0.4208669214504799,0.4065117234504799,0.3921565254504799
0.2,0.42618961424129526,0.41108881424129523,0.39598801424129526
0.20500000000000002,0.4313279115584553,0.4154626335584553,0.3995973555584553
0.21,0.4362865788719531,0.4196379468719531,0.4029893148719531
0.215,0.4410702523868952,0.42361939038689517,0.40616852838689516
0.22,0.4456834425498531,0.42741147454985307,0.4091395065498531
0.225,0.4501305374601033,0.4310185874601033,0.41190663746010325
0.23,0.45441580618833577,0.4344449981883358,0.4144741901883358
0.23500000000000001,0.4585434020053437,0.4376948600053437,0.41684631800534366
0.24,0.46251736552313133,0.44077221352313134,0.4190270615231313
0.245,0.4663416277508191,0.4436809897508191,0.4210203517508191
0.25,0.4700200130676577,0.44642501306765775,0.4228300130676577
0.255,0.4735562421153965,0.4490080041153965,0.4244597661153965
0.26,0.47695393461219593,0.45143358261219596,0.42591323061219594
0.265,0.4802166120902129,0.4537052700902129,0.42719392809021284
