policy,lambda_social,r_demarketer,Q_base,Q_treat,throughput_reduction,leakage,relative_profit_demarketers,profit_ratio_demarketers,profit_ratio_mean,profit_total_treat,profit_total_base,cs_mean_treat,cs_mean_base,rebound_mean_treat,units_lost_at_demarketers,prop_rate,d_mean,r_mean,n_exits,n_exits_demarketers,n_exits_conventional,viable,PMV,share_micro_negative,mean_micro_g,regime
0.0,0.0,0.0,1037.3061407004004,1037.2327746873784,7.072744500717834e-05,0.9997098889692877,0.0,0.0,1.871121682830661,139.55657850294745,112.41511454458248,0.35271877920264655,0.3526282582714735,0.0,252.88942940870078,0.25,0.15749999999999997,0.0,2,2,0,False,False,0.0,0.42942557752635613,collapse
0.0,0.0,0.125,1037.3061407004004,1037.2379076068294,6.577912816073828e-05,0.9997301860590592,0.0,0.0,1.7917742109682486,139.55769028075534,112.41511454458248,0.352712469976907,0.3526282582714735,0.0,252.88942940870078,0.25,0.15749999999999997,0.028125,2,2,0,False,False,0.0,0.42942557752635613,collapse
0.0,0.0,0.25,1037.3061407004004,1028.2392319893947,0.008740822362126966,0.9321679331222587,0.5094185357158855,0.5288725318064461,1.330960386443007,126.10189752395705,112.41511454458248,0.3543146420076018,0.3526282582714735,0.0,133.6669974592936,0.125,0.09924405119999999,0.035444304,1,1,0,False,False,0.0,0.42942557752635613,collapse
0.0,0.0,0.375,1037.3061407004004,1010.1359729301955,0.02619300773815848,0.6527669093034552,0.7169408070457118,0.7148302202618813,1.0289338803426662,116.00923714182007,112.41511454458248,0.3590587281587387,0.3526282582714735,0.0,78.2476339328775,0.125,0.045003571199999995,0.024109055999999997,0,0,0,False,False,0.0,0.42942557752635613,futility
0.0,0.0,0.5,1037.3061407004004,1008.747639800433,0.027531410236021906,0.6419834524144117,0.8201413513118285,0.7862423271628864,1.0142960726810482,118.93830374687124,112.41511454458248,0.3588709013198645,0.3526282582714735,0.0,79.76866179108697,0.125,0.045003571199999995,0.032145408,0,0,0,False,False,0.0,0.42942557752635613,futility
0.0,0.0,0.625,1037.3061407004004,1007.3577035720064,0.028871358177994154,0.6315839674554489,0.9279920174434643,0.8562608759938524,1.0013568062584626,121.9977162816234,112.41511454458248,0.3586851381646024,0.3526282582714735,0.0,81.28972271252204,0.125,0.045003571199999995,0.040181760000000004,0,0,0,False,False,0.0,0.42942557752635613,futility
0.0,0.0,0.75,1037.3061407004004,997.9071980620281,0.03798198149272473,0.5825442922776054,1.0824659901911342,0.9622457302820486,1.0306906259917488,130.34107575107862,112.41511454458248,0.3589471477983675,0.3526282582714735,0.0,94.37873745535745,0.125,0.055279616,0.05922816,0,0,0,True,False,0.0,0.42942557752635613,futility
0.0,0.0,0.875,1037.3061407004004,941.3309175893407,0.0925235273805052,0.29064497545836343,1.4722917804867712,1.262057996808895,1.3183492372004353,172.88995214533747,112.41511454458248,0.36609838889785484,0.3526282582714735,0.0,135.29927862719506,0.25,0.12724992,0.1590624,0,0,0,True,False,0.0,0.42942557752635613,niche
0.0,0.0,1.0,1037.3061407004004,870.025461577113,0.16126452216925824,0.00819287441546035,2.1476923928862046,1.7769897352694781,1.7451722676703185,237.11016357509692,112.41511454458248,0.3755671363525291,0.3526282582714735,0.0,168.66250988537465,0.25,0.20804,0.2972,0,0,0,True,True,0.0,0.42942557752635613,niche
0.0,0.075,0.0,1017.0757678973367,1016.9444167509257,0.00012914588131675866,0.9994702672387324,0.0,0.0,1.8941475374836878,135.16216976006433,108.00964448474681,0.38139737373825244,0.381233175895961,0.0,247.95737778560172,0.25,0.15749999999999997,0.0,2,2,0,False,False,0.0,0.42942557752635613,collapse
