t,Q_total,cs_mean,rebound_mean,profit_total,profit_ratio_demarketers,profit_ratio_conventional,prop_rate,d_mean,r_mean,n_alive
0,1365.1165726846634,0.2088985120074818,0.06352745680820224,79.27685340318294,-0.47821523466431803,0.6555185013602594,0.25,0.175,0.15,8
1,1415.5421093685663,0.2107337331073079,0.12064810474424906,91.12953833641538,-0.40168495514076946,0.7041823422306047,0.25,0.175,0.15,8
2,1461.2125926813737,0.21243006935907444,0.1720104815718124,102.10786458820661,-0.3279143652103085,0.7482943554164025,0.25,0.175,0.15,8
3,1502.525125944498,0.2139988281387907,0.218197084020938,112.26968569143273,-0.2569276194139732,0.7882246390187495,0.25,0.175,0.15,8
4,1539.8556563339303,0.21545019456221842,0.2596944469305644,121.67129899265478,-0.1887272317855273,0.824326339044451,0.25,0.175,0.15,8
5,1573.5149657459779,0.2167934975952901,0.29690292721797606,130.35982657629103,-0.1233054812352321,0.8568917711322452,0.25,0.175,0.15,8
6,1603.7528470669426,0.21803717624824176,0.3300849911984464,138.3735707142767,-0.06064824789990446,0.8861559237350819,0.25,0.175,0.15,8
7,1630.7395472662427,0.21918877630656042,0.3592719742546307,145.7385715556408,-0.000745577925938724,0.912278437784702,0.25,0.175,0.15,8
8,1654.4502316358833,0.22025522364827976,0.3844014559165841,152.44911980171477,0.056384567857333937,0.9352295715142006,0.25,0.175,0.15,8
9,1674.8436653666845,0.22124297966592416,0.40597570195171634,158.4969639128421,0.11071963565427821,0.954965204837429,0.25,0.175,0.15,8
10,1692.2932764816735,0.22215629748045654,0.42433086750816557,163.94334030344228,0.16233126322022312,0.971844675114702,0.25,0.175,0.15,8
11,1707.125474890508,0.22299945036151592,0.44026850848859317,168.84256947394297,0.21129264442792492,0.9861835213089459,0.25,0.175,0.15,8
12,1719.9909041069882,0.2237807490021557,0.4540323891394243,173.3036504145757,0.25774729263771096,0.9986160197668447,0.25,0.175,0.15,8
13,1730.9828545167904,0.2245047505731141,0.4661213485014358,177.3443053409391,0.3017644447442537,1.009229996897128,0.25,0.175,0.15,8
14,1740.6054510690797,0.22517563929965892,0.47669821180419303,181.05064885074611,0.34348454187239563,1.0185175429214726,0.25,0.175,0.15,8
15,1748.986066416614,0.22579728955884415,0.4858943613751198,184.44707535993211,0.3829969612737754,1.0266015253312724,0.25,0.175,0.15,8
16,1756.249223886629,0.22637329372501533,0.4937471590120711,187.5575096639827,0.42038628336004047,1.0336034716864773,0.25,0.175,0.15,8
17,1762.4483550716247,0.22690697984506517,0.5006511608484894,190.39418129865837,0.4557281507745688,1.0395747000338,0.25,0.175,0.15,8
18,1767.8709578267003,0.2274014429959277,0.5066826733645947,193.00837680865928,0.48914827585537085,1.044794256729212,0.25,0.175,0.15,8
19,1772.5656919612768,0.22785955562965143,0.5119580688533175,195.4119782544226,0.5207297646398551,1.0493087975257744,0.25,0.175,0.15,8
20,1776.6452247923862,0.22828397602738906,0.5166090449983003,197.62734579991667,0.5935580791116646,1.1354806402960578,0.25,0.175,0.15,8
21,1780.2058697948605,0.22867715803637453,0.5207204985616739,199.674268777244,0.6239341644895555,1.139165263277496,0.25,0.175,0.15,8
22,1783.3306028956317,0.2290413781390702,0.5243721399475019,201.57022004507257,0.6526159461163021,1.1423960926411378,0.25,0.175,0.15,8
23,1786.081903118047,0.22937878209988186,0.5276207895836449,203.32926500648497,0.6796924858761865,1.1452383362126384,0.25,0.175,0.15,8
24,1788.513544084146,0.22969133442477863,0.5304990130650447,204.96393975737,0.7052489031891025,1.1477481981884872,0.25,0.175,0.15,8
25,1790.643945358124,0.22998084662386734,0.5330514783599404,206.48079047085372,0.7293603355622361,1.1499447978296395,0.25,0.175,0.15,8
26,1792.515512499569,0.23024899969066837,0.535319021456514,207.8902018782174,0.7521038639833307,1.1518725041883633,0.25,0.175,0.15,8
27,1794.1632575763317,0.23049735343987263,0.5373394110166643,209.20123264834223,0.7735532545312416,1.1535678447351907,0.25,0.175,0.15,8
28,1795.6128885961234,0.23043726918671992,0.5388390592412936,210.4212700456129,0.7937773825691794,1.1550577007067115,0.25,0.15749999999999997,0.135,8
29,1797.5684119180837,0.23038272281867397,0.5402062219229256,206.68873382146256,0.77108799574955,1.137438510138172,0.25,0.15749999999999997,0.135,8
30,1798.8336769068574,0.23005547137464935,0.5411498199620522,208.23659643993244,0.7984411165443184,1.1387637751357607,0.25,0.13999999999999999,0.12,8
31,1800.6158977984173,0.22975650918543633,0.542017556984318,204.92273387935944,0.7816291060755329,1.1220101266708002,0.25,0.13999999999999999,0.12,8
