t,Q_total,cs_mean,rebound_mean,profit_total,profit_ratio_demarketers,profit_ratio_conventional,prop_rate,d_mean,r_mean,n_alive
0,1361.2954560663993,0.23350080783807964,0.0,146.8516934482268,-0.5351260773166053,1.0973711719162302,0.25,0.175,0.2,8
1,1336.2415025830494,0.25778825569625324,0.0,144.74175194286107,-0.46782984809317585,1.0617351115217446,0.25,0.175,0.2,8
2,1313.3581494765021,0.2799753920592539,0.0,143.00837294934848,-0.4027295957578336,1.0291875662765742,0.25,0.175,0.2,8
3,1292.4567803323898,0.3002463159392931,0.0,141.60937433963016,-0.3398172809803812,0.9994618812454351,0.25,0.175,0.2,8
4,1273.3645640436912,0.31876842505535435,0.0,140.50652402157596,-0.27907570541996257,0.9723130677582553,0.25,0.175,0.2,8
5,1255.9239334853496,0.3356937488170746,0.0,139.66537952734436,-0.22047995416129235,0.9475172803684857,0.25,0.175,0.2,8
6,1239.9915482659349,0.3511614375622534,0.0,139.05501473041096,-0.16399860846919456,0.9248705109036552,0.25,0.175,0.2,8
7,1225.435924597302,0.36529799535833535,0.0,138.6474594526644,-0.10959474623688883,0.9041854150172969,0.25,0.175,0.2,8
8,1212.137539566153,0.3782190552956333,0.0,138.4176745662044,-0.057226981989646014,0.8852915030442364,0.25,0.175,0.2,8
9,1199.986874722973,0.3900299786426926,0.0,138.34308440755274,-0.006850265963711194,0.8680324802150062,0.25,0.175,0.2,8
10,1188.8841426430463,0.40082624738772743,0.0,138.40347558363297,0.04158333608489058,0.852265873321369,0.25,0.175,0.2,8
11,1178.7390288826484,0.41067610860096876,0.0,138.58090252643527,0.08812400048643859,0.8378626538100583,0.25,0.175,0.2,8
12,1169.4904954412764,0.4196772830006968,0.0,138.86394385886828,0.13282404669484335,0.8247339070474101,0.25,0.175,0.2,8
13,1161.0418122960616,0.4278988889589197,0.0,139.2335978256871,0.17573617299609778,0.812743154223531,0.25,0.175,0.2,8
14,1153.3284499542112,0.4354042715501384,0.0,139.677954639709,0.2169142481400135,0.8017979078093714,0.25,0.175,0.2,8
15,1146.293229773539,0.4422605246902405,0.0,140.18679272698188,0.25641260689062967,0.7918160897522384,0.25,0.175,0.2,8
16,1139.8704242506135,0.4485297578329634,0.0,140.74811110914217,0.2942853978630703,0.7827045485615293,0.25,0.175,0.2,8
17,1133.9989475187845,0.4542581955335057,0.0,141.35096428349263,0.3305865324833717,0.7743768169614084,0.25,0.175,0.2,8
18,1128.6371924485477,0.4594925195238725,0.0,141.98865960283243,0.36536978829058775,0.7667730866143541,0.25,0.175,0.2,8
19,1123.7396012221834,0.4642789980717484,0.0,142.653668848765,0.3986882183260475,0.7598285616894055,0.25,0.175,0.2,8
20,1119.2619477160056,0.468654954494934,0.0,143.3387575684869,0.6400421175530238,1.1199859608155844,0.25,0.175,0.2,8
21,1115.1687962650399,0.47265317816764507,0.0,144.0385893191949,0.6854442236039267,1.1113617419083213,0.25,0.175,0.2,8
22,1111.4296111436465,0.47630368734722606,0.0,144.7488739672568,0.7288981026565579,1.103484164575316,0.25,0.175,0.2,8
23,1108.0167751632825,0.4796373100628105,0.0,145.4659302272319,0.7704771660673473,1.0962945151445809,0.25,0.175,0.2,8
24,1104.9008897332462,0.482684359595589,0.0,146.18566020630567,0.8102529787429615,1.0897308201566058,0.25,0.175,0.2,8
25,1102.053013498604,0.4854705040047823,0.0,146.9040275994983,0.8482952308892646,1.083732303940559,0.25,0.175,0.2,8
26,1099.4493387049827,0.488015668708075,0.0,147.61806575796314,0.8846718282323205,1.0782487355652786,0.25,0.175,0.2,8
27,1097.0711185524735,0.4903411418981167,0.0,148.32585854492976,0.9194488572446025,1.073240262353027,0.25,0.175,0.2,8
28,1094.8980168634648,0.4921117783006123,0.0,149.0250966191964,0.9526903578249235,1.0686640562400629,0.25,0.15749999999999997,0.18,8
29,1097.2783622806269,0.4936592808483929,0.0,145.38215038917255,0.9050342721918393,1.0506628285977477,0.25,0.15749999999999997,0.18,8
30,1095.856833016657,0.49507236467368404,0.0,146.26315697497802,0.9385130770221264,1.0476983269568931,0.25,0.15749999999999997,0.18,8
31,1094.5588561744692,0.49636165890825307,0.0,147.10930802936167,0.9702454045845844,1.0449917591735345,0.25,0.15749999999999997,0.18,8
32,1093.3756770141254,0.49753907252227386,0.0,147.9218487805403,1.000321642095497,1.0425245792555287,0.25,0.15749999999999997,0.18,8
33,1092.2952728742252,0.49834207314846,0.0,148.70116116666856,1.0288270779831885,1.0402719105053844,0.25,0.1435,0.164,8
34,1095.7750916114057,0.498987613406677,0.0,145.52714222505006,0.9887291150435298,1.024113257871244,0.25,0.1435,0.164,8
35,1095.1882912716824,0.4995766843906025,0.0,146.4171690099114,1.0171883612658355,1.022905848086193,0.25,0.1435,0.164,8
36,1094.6528860337924,0.5001142308971865,0.0,147.2585657383523,1.043972884847471,1.0218043236822165,0.25,0.1435,0.164,8
37,1094.1643669647774,0.5006047640687934,0.0,148.05393843609284,1.0691833310604375,1.020799377417665,0.25,0.1435,0.164,8
38,1093.7186216927935,0.501052399512842,0.0,148.8057609940097,1.0929141947912793,1.0198825230645536,0.25,0.1435,0.164,8
