sacrifice,M_high_intensity,M_low_intensity,effect_of_demarketing_intensity,t,p,cohens_d
low,-0.10940360458447129,-0.013924095128932713,-0.09547950945553858,-0.8618124588183298,0.3894402435695744,-0.09635356208870116
high,0.3011582860743446,-0.17783058636094062,0.4789888724352852,4.372937710100154,1.6682278803440923e-05,0.48890929905781066
