phi_credibility_erosion,r_demarketer,throughput_reduction,relative_profit_demarketers,cs_mean_treat,leakage,regime,PMV
0.0,0.0,0.03360797968747847,0.0,0.6239197535585618,0.86214622023598,collapse,False
0.0,0.05,0.03360797968747847,0.0,0.6239197535585618,0.86214622023598,collapse,False
0.0,0.1,0.05252709156243645,0.3108178142837446,0.6379789362892382,0.5971833567927097,collapse,False
0.0,0.15000000000000002,0.07013704844420478,0.3039440608381381,0.6429616594922559,0.045464865071826344,strained,False
0.0,0.2,0.07076662556575247,0.36745776901108856,0.6429616594922559,0.045078619090042626,strained,False
0.0,0.25,0.0713962026873003,0.43218128185885596,0.6429616594922559,0.04469888051691118,strained,False
0.0,0.30000000000000004,0.29793190061480807,1.388230940751056,0.7501523575103194,-1.522478503522434,tipping,True
0.0,0.35000000000000003,0.32055600405433865,1.7246097593897516,0.7580673742298764,-1.7228079335089386,tipping,True
0.0,0.4,0.35969449669290104,2.1769096967853887,0.7736839643338046,-2.120291023837432,tipping,True
0.0,0.45,0.3644667386559607,2.507485818853589,0.7736839643338046,-2.102726535506898,tipping,True
0.0,0.5,0.3692389806190206,2.8601942117532095,0.7736839643338046,-2.0858051798079376,tipping,True
0.0,0.55,0.37401122258208025,3.237822360347821,0.7736839643338046,-2.0694922688574477,tipping,True
0.0,0.6000000000000001,0.37878346454514006,3.643594451346736,0.7736839643338046,-2.053755565274742,tipping,True
0.0,0.65,0.3835557065081998,4.081249231062137,0.7736839643338046,-2.0385650695443083,tipping,True
0.0,0.7000000000000001,0.3883279484712595,4.555132734807042,0.7736839643338046,-2.0238928291422593,tipping,True
0.0,0.75,0.39310019043431926,5.070308799333041,0.7736839643338046,-2.009712766871255,tipping,True
0.0,0.8,0.39787243239737907,5.6326908318156725,0.7736839643338046,-1.9960005261858917,tipping,True
0.0,0.8500000000000001,0.4026446743604387,6.249198973259361,0.7736839643338046,-1.9827333315785043,tipping,True
0.0,0.9,0.40741691632349863,6.927947576907226,0.7736839643338046,-1.9698898623418946,tipping,True
0.0,0.9500000000000001,0.4121891582865583,7.678468841007486,0.7736839643338046,-1.9574501382371654,tipping,True
0.0,1.0,0.41696140024961803,8.511979509206714,0.7736839643338046,-1.945395415777106,tipping,True
0.4,0.0,0.03360797968747847,0.0,0.6239197535585618,0.86214622023598,collapse,False
0.4,0.05,0.033551626561019114,0.0,0.6238554729683834,0.8623773704436444,collapse,False
0.4,0.1,0.04915560219716588,0.3148384271193851,0.6341104560147331,0.6219914443349766,collapse,False
0.4,0.15000000000000002,0.06906998823419126,0.3022630772246359,0.6417444467384205,0.05959198034840496,strained,False
0.4,0.2,0.06935507742299425,0.36470884214434707,0.6413521549376784,0.06361765619928916,strained,False
0.4,0.25,0.06964473231455154,0.42806578739194356,0.6409654344331995,0.06751925996682717,strained,False
0.4,0.30000000000000004,0.06993920863834788,0.4923910707657793,0.6405845147094504,0.07129685710883171,strained,False
0.4,0.35000000000000003,0.1331552936001533,0.7910153821632092,0.6673051444446915,-0.3641092043206111,strained,False
0.4,0.4,0.2429948968135479,1.3452420230065854,0.7012426838508041,-0.8359464265309557,tipping,True
0.4,0.45,0.2818904307024131,1.7168875054434922,0.7140926023368449,-1.1063923884518339,tipping,True
0.4,0.5,0.3153540107147001,2.1256534769047173,0.728305578120683,-1.2766068250854765,tipping,True
0.4,0.55,0.3003927671269817,2.235588398527199,0.7118654831022443,-1.2336480589653274,tipping,True
0.4,0.6000000000000001,0.30267625599590986,2.486485470605899,0.709559807096961,-1.2053837719271998,tipping,True
0.4,0.65,0.3049906042930725,2.751370251608991,0.7072992259101462,-1.1791950376697415,tipping,True
0.4,0.7000000000000001,0.30733039232355036,3.032147593510169,0.7050750802244509,-1.1548893926659516,tipping,True
0.4,0.75,0.3406441694386476,3.6903575264207475,0.7173105444505581,-1.236391904436429,tipping,True
0.4,0.8,0.34249604782064014,4.054424691657881,0.7142930122127924,-1.2051805266827085,tipping,True
0.4,0.8500000000000001,0.34440299510990846,4.450301889065238,0.7113501465679257,-1.1764540757086164,tipping,True
0.4,0.9,0.34636678178140534,4.883133813473374,0.7084811789708889,-1.150025542562303,tipping,True
0.4,0.9500000000000001,0.3483762268765647,5.358956645980216,0.7056761497758275,-1.1256574102249863,tipping,True
0.4,1.0,0.3504346001273823,5.884847113184055,0.7029298808858675,-1.1032137184104651,tipping,True
0.8,0.0,0.03360797968747847,0.0,0.6239197535585618,0.86214622023598,collapse,False
0.8,0.05,0.0334965141441753,0.0,0.6237926077505167,0.8626034314876136,collapse,False
0.8,0.1,0.03338984238327318,0.0,0.6236709487084395,0.863040979521479,collapse,False
0.8,0.15000000000000002,0.06608240702002621,0.31172150871948273,0.6391702677786156,0.07371709490912381,strained,False
0.8,0.2,0.06611877455601774,0.37157183969717134,0.6385131323368843,0.08077031719531413,strained,False
0.8,0.25,0.06617224688796634,0.43204632950784616,0.6378760912849045,0.08749809591851243,strained,False
0.8,0.30000000000000004,0.06624125631527623,0.49317809741066165,0.6372573361503612,0.09392629124435614,strained,False
0.8,0.35000000000000003,0.06632553135259679,0.5550013259324083,0.6366565191653263,0.100064846350298,strained,False
