scenario,Q_base,Q_treat,throughput_reduction,leakage,relative_profit_demarketers,profit_ratio_demarketers,profit_ratio_mean,profit_total_treat,profit_total_base,cs_mean_treat,cs_mean_base,rebound_mean_treat,units_lost_at_demarketers,prop_rate,d_mean,r_mean,n_exits,n_exits_demarketers,n_exits_conventional,viable,PMV,share_micro_negative,mean_micro_g,regime
futility,1278.466240277759,1264.0750723651447,0.011256588136021211,0.7397797303922184,0.32228376313706014,0.32422052801555545,0.9872935863219845,131.2906499375226,133.7794990002811,0.3779535626568019,0.3755791124104275,0.0,55.303792953198595,0.0,0.024,0.0,0,0,0,False,False,0.0,0.42834069134950603,futility
collapse,1259.9749513147578,1259.9727198653686,1.7710267866037137e-06,0.9999857889447101,0.0,0.0,1.427981633282253,147.45097153196133,129.79013154891862,0.3964086737481602,0.39640643433863687,0.0,157.0220749770085,0.125,0.11875,0.0,1,1,0,False,False,0.0,0.42834069134950603,collapse
niche,1190.103360648371,1071.226528423737,0.0998878216425419,0.4177342115982353,1.9349367860089732,1.548554375278667,1.2058674091382766,172.84753621822045,114.71582006435199,0.5074464642682341,0.4751717349923842,0.0,204.16248832158576,0.25,0.15693999999999997,0.17936000000000002,0,0,0,True,False,0.0,0.42834069134950603,niche
tipping,1088.4323305463606,662.8033043232044,0.39104776133349795,-1.4431705982868297,5.683466297615311,6.268801571659262,3.475986829310721,292.39230340493566,92.7809998878341,0.7808102904007007,0.5900714561984118,0.0,174.21175030577504,0.75,0.35839104,0.40958976,0,0,0,True,True,0.0,0.42834069134950603,tipping
backlash,1445.0526193790697,1785.6374391140416,-0.23569025457447987,1.5,1.804709963937358,1.549857441883708,1.3545869357933853,267.70342077609973,169.71935586784943,0.21262965156286817,0.18795506819006322,0.5383869586405756,105.61476412703392,0.25,0.10006527999999998,0.08577024000000001,0,0,0,True,False,0.8466666666666667,-0.2712358176434178,backlash
